x_world,z_world
-0.000000,-0.008038
-0.000000,-0.014067
-0.000000,-0.020096
-0.000000,-0.026124
-0.000000,-0.032153
-0.000000,-0.038182
0.000000,-0.044211
0.000000,-0.050241
0.000001,-0.056270
0.000001,-0.062299
0.000002,-0.068327
0.000002,-0.074356
0.000002,-0.080385
0.000003,-0.086414
0.000003,-0.092443
0.000004,-0.098472
0.000004,-0.104501
0.000004,-0.110530
0.000004,-0.116559
0.000004,-0.122588
0.000004,-0.128617
0.000004,-0.134646
0.000003,-0.140675
0.000003,-0.146703
0.000003,-0.152732
0.000003,-0.158761
0.000003,-0.164790
0.000003,-0.170820
0.000003,-0.176849
0.000004,-0.182878
0.000004,-0.188907
0.000004,-0.194936
0.000004,-0.200964
0.000005,-0.206993
0.000005,-0.213022
0.000005,-0.219051
0.000006,-0.225080
0.000006,-0.231109
0.000006,-0.237138
0.000006,-0.243168
0.000005,-0.249197
0.000005,-0.255225
0.000005,-0.261254
0.000005,-0.267283
0.000004,-0.273312
0.000004,-0.279341
0.000004,-0.285370
0.000004,-0.291399
0.000004,-0.297428
0.000004,-0.303457
0.000004,-0.309486
0.000004,-0.315515
0.000002,-0.321544
-0.000037,-0.327573
-0.000251,-0.333606
-0.000816,-0.339230
-0.001831,-0.344188
-0.003652,-0.349350
-0.005617,-0.353407
-0.006714,-0.355881
-0.007275,-0.357767
-0.008492,-0.362570
-0.010581,-0.368219
-0.012808,-0.373823
-0.015052,-0.379412
-0.017308,-0.385001
-0.019560,-0.390592
-0.021805,-0.396185
-0.024040,-0.401779
-0.026276,-0.407376
-0.028513,-0.412973
-0.030750,-0.418570
-0.032988,-0.424168
-0.035227,-0.429766
-0.037466,-0.435365
-0.039705,-0.440963
-0.041944,-0.446560
-0.044183,-0.452158
-0.046423,-0.457756
-0.048662,-0.463353
-0.050901,-0.468951
-0.053139,-0.474549
-0.055378,-0.480146
-0.057617,-0.485744
-0.059856,-0.491341
-0.062095,-0.496938
-0.064334,-0.502536
-0.066574,-0.508133
-0.068813,-0.513730
-0.071052,-0.519328
-0.073291,-0.524925
-0.075530,-0.530523
-0.077769,-0.536121
-0.080008,-0.541719
-0.082247,-0.547317
-0.084486,-0.552915
-0.086725,-0.558513
-0.088964,-0.564111
-0.091203,-0.569709
-0.093441,-0.575306
-0.095793,-0.580865
-0.098577,-0.586243
-0.101697,-0.591288
-0.103241,-0.593242
